,param_first_scale,param_frequency,param_model,param_model__alpha,param_second_scale,param_model__l2_regularization,param_model__learning_rate,param_model__max_features,param_model__max_leaf_nodes,param_model__n_components,nrmse
195,mad_scaling_clipping_channel_trial,passthrough,Ridge,151.99110829529332,RobustScaler(),,,nan,,,1.1019869929907447
196,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,151.99110829529332,RobustScaler(),,,nan,,,1.0752626443966569
197,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,0.9576821762827821
198,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,0.9673139736728675
199,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,1.0048541490639162
200,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,0.9611934663750674
201,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,0.9712623566025254
202,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.0,0.05,0.05,63.0,,1.0051751203152557
203,passthrough,passthrough,PLSRegression(),,RobustScaler(),,,nan,,8.0,1.0027090292359966
204,passthrough,passthrough,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,1.839509195880606
205,passthrough,functional_connectivity,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,0.9984650179374397
206,mad_scaling_clipping_channel_trial,power_phase,Ridge,3511191.7342151417,RobustScaler(),,,nan,,,0.9921519989792893
207,mad_scaling_clipping_channel_trial,passthrough,ExtraTreesRegressor,,RobustScaler(),,,0.05,,,0.9739891036346605
208,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,0.9587841425056076
209,passthrough,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,0.9649028450326675
210,passthrough,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,1.002780196800257
211,mad_scaling_clipping_channel_trial,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,0.9598539244894596
212,mad_scaling_clipping_channel_trial,power_phase,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,0.9685838324071931
213,mad_scaling_clipping_channel_trial,functional_connectivity,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.05,0.2,31.0,,1.0024219021062053
214,mad_scaling_clipping_channel_trial,power_phase,PLSRegression(),,RobustScaler(),,,nan,,4.0,0.9887116123527707
215,passthrough,power_phase,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,2.2483372029188406
216,mad_scaling_clipping_channel_trial,passthrough,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,1.1781419363038788
217,mad_scaling_clipping_channel_trial,functional_connectivity,Ridge,0.18738174228603868,RobustScaler(),,,nan,,,1.092951918321467
218,mad_scaling_clipping_channel_trial,functional_connectivity,ExtraTreesRegressor,,RobustScaler(),,,0.1,,,1.00150380044267
219,passthrough,passthrough,HistGradientBoostingRegressor,,RobustScaler(),0.001,0.1,0.2,63.0,,0.9684602527620004
