,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
41,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.001,0.1,31.0,20.0,,0.970168254946365
42,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,16.0,1.0070323821976084
43,passthrough,power_phase_temporal,Ridge,8.111308307896873e-06,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.7257523688221585
44,passthrough,power_phase_temporal,Ridge,3511191.7342151417,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.9977495950622084
45,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,5.3366992312063015,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.5512481223989623
46,passthrough,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,,,,,,0.9748903409309395
47,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.05,31.0,20.0,,0.9590035039665367
48,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.05,31.0,20.0,,0.9586848399085436
49,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.1,31.0,20.0,,0.9660842542646498
50,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.0,0.05,31.0,20.0,,0.9625685438201178
51,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.001,0.05,31.0,20.0,,0.962002310680421
52,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.001,0.1,31.0,20.0,,0.9703811671055639
53,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,4.0,0.9694303435548249
54,passthrough,power_phase_temporal,Ridge,8.111308307896873e-06,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0726121167941898
55,passthrough,power_phase_temporal,Ridge,3511191.7342151417,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,0.9841792288033577
